Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
yikes..,there have been several hateful comments posted in the exo community and nothing has been done in response. something like this is serious.,1,No,Non-Accessibility Issues (NO)
allows bullying and harassment,this apps says it doesnâ€™t tolerate bullying or harassment but clearly it does bc it does nothing to remove the toxic users from having access to this app.,1,No,Non-Accessibility Issues (NO)
Please protect our idolsâ€¼ï¸,Please ban those who write hate and threat comments please protect our idols ðŸ¥º I beg you,1,No,Non-Accessibility Issues (NO)
Awful breach of guidelines,App used to ridicule and bully. Most toxic app out for negative death threats and organized attacks.,1,No,Non-Accessibility Issues (NO)
Lysn doesnâ€™t have rules,The app doesnâ€™t follow its own rules.,1,No,Non-Accessibility Issues (NO)
ðŸ‘ŽðŸ»,Lysn app is bad. ace membership are engaging in targeted harassment towards the artist. SM entertainment should sue them! do your job and protect your artist.,1,No,Non-Accessibility Issues (NO)
PUTS MY IDOL IN DANGER,Antis of Chen from EXO have sent death threats and insults through this app and the creators of it havenâ€™t done anything about it.,1,No,Non-Accessibility Issues (NO)
Chen,allowing hate and death threats to be sent to artists on platform,1,No,Non-Accessibility Issues (NO)
help,i purchased a ticket for the dear u bubble thing but i would like to cancel it. how exactly do i cancel my subscription?,1,No,Non-Accessibility Issues (NO)
EVIL,This app is evil. The people are toxic and no one is doing anything about it. Itâ€™s just toxic toxic toxic AND MORE TOXIC I donâ€™t recommend it AT ALL.,1,No,Non-Accessibility Issues (NO)
allows death threats,lysn does not follow its own guidelines and it allows death threats to be posted with no type of consequences it needs to be taken off the app store,1,No,Non-Accessibility Issues (NO)
It's Chinese New Year not Korean new year you thief,"ä¸æƒ³èµšä¸­å›½äººçš„é’±å°±æ»šå•ŠðŸ™ƒå·å›½äººå•¥éƒ½å·å•Š
 Chinese new year
 Chinese new year
 Chinese new year
 å¬æ‡‚äº†äº†æ²¡å·å›½äºº",1,No,Non-Accessibility Issues (NO)
take action,i donâ€™t even think they do anything about all the bullying and slander of artists,1,No,Non-Accessibility Issues (NO)
Hateful,"Idols are being hated on and no matter how many times you report it, the app DOES NOTHING TO PROTECT THE IDOLS",1,No,Non-Accessibility Issues (NO)
Really?,"This app is so toxic itâ€™s sad, vlive is better.",1,No,Non-Accessibility Issues (NO)
stand by the guidelines,"literally so much hate on the app and there seems to be no consequences ???? esp towards jongdae. protect your artists better, sm.",1,No,Non-Accessibility Issues (NO)
horrible,does nothing to stop the hate post targeted at artist who didnt do anything wrong,1,No,Non-Accessibility Issues (NO)
"Cute, but certain things REALLY ruin it.","It is a very cute, fun app. I downloaded it when it came out as an EXO-L and haven't used it that much until recently. There are many features and nice things about it, like sharing your love for your favorite artist with other fans, and a translate button to communicate with and understand fans who speak different languages. I am liking it, but there are a couple things about it that really bother me and make what could be a good experience not so great.
 
 -One thing that bothers me is whenever I am making a new post, I cannot see what I am typing. The space between ""Please Enter Title"" and the keyboard is extremely little, making it so that I can barely see what I am saying, and every time I type that text moves up and down making it even more difficult.
 
 -Another thing I dislike is that most if not all the time get notifications about 20-30 minutes late. The point of notifications is to know what is happening and to keep up to date, when you get them late that defeats the purpose.
 
 -The thing that bothers me the most however is the paid fan-club known as ACE. Not only you have to pay money (about $30 initially then about $13 to renew) to access content and chat with the artist, I have also noticed that some fans use this as a superiority complex to bully other fans who they disagree with who are not ACE. This leads into my next point that,
 
 -Because of the division between ACE and basic, it hasn't felt like a very safe space for everyone. While there are still some nice posts, it feels divided and not as positive and united as it could be because of the lack of monitoring and action taken against the people bullying other fans and the artist. Recently EXO member Chen announced that he is getting married and having a child and on the app, the same ACE fans are repeatedly asking him to leave the group and making other malicious posts, breaking the rules of the community guidelines, yet no action is taken against them.
 
 -To put it short, I have not been enjoying this app as much as I could be because of the bug when typing new posts, late notifications, paying for content, and the lack of action taken against rude ACE fans who bully the artist and fans who are basic.",1,Yes,UI Accessibility Issues (UI)
